Type,Source,Target,Weight
Undirected,TERT,ACD,0.527958233217644
Undirected,CTNNB1,CBY1,0.2544866660733885
Undirected,NAT2,NAT1,0.8672540120435466
Undirected,MCL1,AMLCR2,0.9502239625048203
Undirected,BAP1,UCHL1,0.8309453887455133
Undirected,FASLG,FAS,1.2484648927649729
Undirected,BECN1,AMBRA1,2.0
Undirected,PIK3CA,KRAS,0.27379539813908416
Undirected,EGFR,KRAS,0.49029001413979595
Undirected,BRAF,KRAS,0.6770984742863356
Undirected,BMI1,L3MBTL2,1.8178042775355223
Undirected,CLPTM1L,ACD,0.34500608110112424
Undirected,DNMT3AP1,DNMT1,0.6529916051140577
Undirected,BCL2L1,ABALON,0.7059713446649462
Undirected,CLPTM1L,TERT,0.5955474474207232
Undirected,BRAF,EGFR,0.4692187515449952
Undirected,ERBB2,EGFR,0.24472476837431895
Undirected,EML4,ALK,0.053217050814274275
Undirected,ERBB2,KRAS,0.2264097772240515
Undirected,MAPK1,MAPK3,0.5434724570614933
Undirected,ALK,KRAS,0.11828236085155192
Undirected,PIK3CA,BRAF,0.5681923803308514
Undirected,SNAI2,SNAI1,0.9128177746136277
Undirected,ALK,EGFR,0.11014209011895226
Undirected,KEAP1,NFE2L2,0.4717154637952004
Undirected,TP53,EGFR,0.010382367773130431
Undirected,ERBB2,BRAF,0.4150697596234662
Undirected,PIK3CA,EGFR,0.2359788595216201
Undirected,ROS1,EGFR,0.028803654593456143
Undirected,RRM1,ERCC1,0.12835572958381536
Undirected,TP53,KRAS,0.01987481830856397
Undirected,ROS1,KRAS,0.027824745631989556
Undirected,ROS1,ALK,0.0554418439085165
Undirected,MMP2,MMP9,0.14131885734626679
Undirected,MSH2,MLH1,0.48470825546557506
Undirected,ABCB1,ABCB5,0.19842188009848416
Undirected,CASP9,CASP3,0.14229776630773336
Undirected,ERBB2,ALK,0.06036605262377266
Undirected,ERCC2,XRCC1,0.09124618077185488
Undirected,BRCA1,ERCC1,0.0641926967458693
Undirected,GSTP1,GSTM1,0.07590994037554508
Undirected,BRAF,ALK,0.11922666192044137
Undirected,RET,ROS1,0.10503989795615673
Undirected,HGF,MET,0.08264364747411823
Undirected,APEX1,XRCC1,0.07074842039690309
Undirected,MET,EGFR,0.0035003411349411174
Undirected,RET,ALK,0.014653970514075526
Undirected,RARB,RASSF1,0.08893239595384296
Undirected,ERCC2,ERCC1,0.04319064993622259
Undirected,MDM2,TP53,0.03215567618878111
Undirected,IL6,STAT3,0.09367862122155973
Undirected,STK11,KRAS,0.005695470321260122
Undirected,HIF1A,VEGFA,0.022247930942422358
Undirected,EGF,EGFR,0.0
Undirected,PIK3CA,ERBB2,0.04007593960428347
Undirected,MET,KRAS,0.003618996766634037
Undirected,PIK3CA,ALK,0.004775889175639999
Undirected,MET,ALK,0.00465723354394708
Undirected,PIK3CA,PTEN,0.03577467295541514
